91 91
0 0 0 40 1
0 1 0 40 1
0 2 0 40 1
0 3 0 40 1
0 4 0 40 1
0 5 0 40 1
0 6 0 40 1
0 7 0 40 1
0 8 0 40 1
0 9 0 40 1
0 10 0 40 1
0 11 0 40 1
0 12 0 40 1
0 13 0 40 1
0 14 0 40 1
0 15 0 40 1
0 16 0 40 1
0 17 0 40 1
0 18 0 40 1
0 19 0 40 1
0 20 0 40 1
500 8266 234 16000 1
1000 8532 468 16000 1
1500 8798 702 16000 1
2000 9064 936 16000 1
2500 9330 1170 16000 1
3000 9596 1404 16000 1
3500 9862 1638 16000 1
4000 10128 1872 16000 1
4500 10394 2106 16000 1
5000 10660 2340 16000 1
5500 10926 2574 16000 1
6000 11192 2808 16000 1
6500 11458 3042 16000 1
7000 11724 3276 16000 1
7500 11990 3510 16000 1
8000 12256 3744 16000 1
2316500 3380500 1053000 4500000 1
2383000 3314000 1053000 4500000 1
2449500 3247500 1053000 4500000 1
2516000 3181000 1053000 4500000 1
2582500 3114500 1053000 4500000 1
2649000 3048000 1053000 4500000 1
2715500 2981500 1053000 4500000 1
2782000 2915000 1053000 4500000 1
2848500 2848500 1053000 4500000 1
2915000 2782000 1053000 4500000 1
2981500 2715500 1053000 4500000 1
3048000 2649000 1053000 4500000 1
3114500 2582500 1053000 4500000 1
3181000 2516000 1053000 4500000 1
3247500 2449500 1053000 4500000 1
3314000 2383000 1053000 4500000 1
3380500 2316500 1053000 4500000 1
3447000 2250000 1053000 4500000 1
11990 7500 3510 16000 1
11724 7000 3276 16000 1
11458 6500 3042 16000 1
11192 6000 2808 16000 1
10926 5500 2574 16000 1
10660 5000 2340 16000 1
10394 4500 2106 16000 1
10128 4000 1872 16000 1
9862 3500 1638 16000 1
9596 3000 1404 16000 1
9330 2500 1170 16000 1
9064 2000 936 16000 1
8798 1500 702 16000 1
8532 1000 468 16000 1
8266 500 234 16000 1
8000 0 0 16000 1
19 0 0 40 1
18 0 0 40 1
17 0 0 40 1
16 0 0 40 1
15 0 0 40 1
14 0 0 40 1
13 0 0 40 1
12 0 0 40 1
11 0 0 40 1
10 0 0 40 1
9 0 0 40 1
8 0 0 40 1
7 0 0 40 1
6 0 0 40 1
5 0 0 40 1
4 0 0 40 1
3 0 0 40 1
2 0 0 40 1
1 0 0 40 1
0 0 0 40 1
